aaronite, aeration
reabandon, abandoner
abdominovaginal, vaginoabdominal
vesicoabdominal, abdominovesical
bicrenate, abenteric
batement, abetment
earthborn, abhorrent
abhorrer, harborer
ablactate, cabaletta
masticable, ablastemic
obtainal, ablation
ablepsia, epibasal
abutilon, ablution
reabolish, abolisher
bacterioid, aborticide
torbanite, abortient
robotian, abortion
bravoite, abortive
abrasion, sorabian
albatros, abrastol
abristle, libertas
reabsent, absenter
absorber, reabsorb
academite, acetamide
acalepha, acephala
acalephae, apalachee
acalephan, acephalan
calyptratae, acalyptrate
acanthia, achatina
calathian, acanthial
chinanta, acanthin
chaotical, acatholic
acaudate, ecaudata
retrocaecal, accelerator
peccation, acception
reaccession, accessioner
accipitres, preascitic
analectic, acclinate
reaccomplish, accomplisher
accorder, reaccord
carucate, accurate
accusable, subcaecal
acephali, phacelia
phalaecian, acephalina
arecaceae, aceraceae
aceraceous, arecaceous
acervate, revacate
acervation, vacationer
avirulence, acervuline
coadamite, acetamido
acetanion, antoecian
acetation, itaconate
acetmethylanilide, methylacetanilide
acetonuria, aeronautic
acetopyrin, capernoity
cruciate, aceturic
acheirus, eucharis
anchoretic, acherontic
acherontical, anchoretical
euchlaena, acheulean
heliacal, achillea
achromat, trachoma
chromatician, achromatinic
claudicate, aciculated
cantharidae, acidanthera
mediatrice, acidimeter
acidophilous, aphidicolous
aciniform, formicina
acipenserid, presidencia
acleistous, ossiculate
acontium, aconitum
tacsonia, acontias
anticous, acontius
carinatae, acraniate
acridian, cnidaria
dicoumarin, acridonium
acrimonious, isocoumarin
sicarius, acrisius
acrocera, caracore
alcicornium, acroclinium
trochila, acrolith
alcoranic, acronical
cleopatra, acropetal
socratical, acrostical
socratically, acrostically
socraticism, acrosticism
acrotism, rotacism
prothoracic, acrotrophic
actaeonidae, donatiaceae
actifier, artifice
actiniform, naticiform
naticine, actinine
actinism, manistic
actinogram, morganatic
precantation, actinopteran
actinost, oscitant
actinula, nautical
biclavate, activable
cavitate, activate
activation, cavitation
actomyosin, inocystoma
strophaic, actorship
autocrat, actuator
mniaceous, acuminose
unaccumulate, acutenaculum
acuteness, encaustes
acutorsion, octonarius
acylation, claytonia
cynogale, acylogen
diastema, adamsite
adoptian, adaption
adaptionism, adoptianism
unmadded, addendum
addicent, dedicant
saddling, addlings
readdress, addresser
tampioned, ademption
adendric, riddance
pentadecoic, adenectopic
adenochondroma, chondroadenoma
cystoadenoma, adenocystoma
adenofibroma, fibroadenoma
palaemonoid, adenolipoma
adenosarcoma, sarcoadenoma
lycaenid, adenylic
adeptness, pedantess
adequation, deaquation
aphodian, adiaphon
adipocere, percoidea
readjust, adjuster
adlumine, unmailed
adminicle, medicinal
misadvise, admissive
admittee, meditate
admonisher, rhamnoside
domination, admonition
dominative, admonitive
admonitor, dominator
adnascence, ascendance
ascendant, adnascent
radioman, adoniram
adoptional, aplodontia
roadability, adorability
adorable, roadable
proadmission, adpromission
adrienne, adrenine
adrenolytic, declinatory
adrenotropic, incorporated
adscendent, descendant
laudation, adulation
adulator, laudator
laudatory, adulatory
adulterine, laurentide
dauntless, adultness
sudation, adustion
vedantism, adventism
vedantist, adventist
unaverted, adventure
aecidioform, formicoidea
aedilian, laniidae
aedility, ideality
erigenia, aegirine
ariegite, aegirite
aeolharmonica, chloroanaemia
socialite, aeolistic
aerarian, arenaria
aerogenic, recoinage
aerographer, areographer
aerographic, areographic
aerographical, areographical
aerography, areography
areologic, aerologic
aerological, areological
aerologist, areologist
areology, aerology
areometer, aerometer
areometric, aerometric
aerometry, areometry
aeronautism, measuration
epichorial, aerophilic
aortectasis, aerostatics
chaetites, aesthetic
aethalioid, haliotidae
eastabout, aetobatus
affecter, reaffect
affiance, caffeina
affirmer, reaffirm
afflicter, reafflict
fregatae, afterage
afterblow, batfowler
forcemeat, aftercome
prefactor, aftercrop
afterguns, transfuge
aftermath, hamfatter
afterstate, aftertaste
afunctional, unfactional
sporangia, agapornis
garcinia, agaricin
genesiac, agenesic
agenesis, assignee
alginate, agential
negative, agentive
agregation, aggeration
signalese, agileness
magnetist, agistment
agminate, agmatine
agminated, diamagnet
coasting, agnostic
santiago, agonista
ergastic, agrestic
agricolist, algoristic
paginary, agrypnia
ailantine, antialien
airdrome, armoried
perianal, airplane
airplanist, triplasian
allantoic, alantolic
ambarella, alarmable
alarmedly, medallary
marginal, alarming
alarmingly, marginally
alastrim, alarmist
salariat, alastair
alaternus, saturnale
albardine, drainable
albarium, brumalia
albertina, trainable
rationable, alboranite
blazoner, albronze
antelabium, albuminate
alburnum, laburnum
lancasterian, alcantarines
chemical, alchemic
hemiclastic, alchemistic
clathrina, alchitran
aldamine, lamnidae
aldeament, mandelate
aldermanry, marylander
aleconner, noncereal
